"spec","n_forecasts","rmse","mae","me"
"MIDAS_COMBO_EQUAL",63,12.4850693431649,5.65104649395271,-0.553942798591546
"MIDAS_COMBO_INV_RMSE",63,12.6541460452665,5.51251347857856,-0.506430736277532
"MIDAS_AR1_lag3_m2",63,13.4922610784865,5.49035356973849,-0.573656085263055
"MIDAS_AR2_lag4_m2",63,13.6153212402114,5.72538630384017,-0.888354076007264
"MIDAS_AR2_lag4_m2_ADJ",63,13.7128578601693,5.99337254968896,-0.226177300389559
"MIDAS_AR1_lag3_m2_ADJ",63,13.7484055385312,5.80754990055072,0.0420120825331301
"TPRF_AR2_lag4_m2",63,14.6693768846254,6.01541327222129,0.430634669678583
"MIDAS_AR2_lag4_m2_roll40",63,22.6087078251033,9.89975029251891,-1.12353861383098
"TPRF_AR2_lag4_m2_roll40",63,45.2957726904845,12.9962123215381,6.37077500568158
