quarter,test_date,n_models_before,n_models,drop_metric,drop_prop,comb_bic,comb_rmse,comb_equal,p10,p25,median,p75,p90,mean,sd,min,max,trimmed_mean,trimmed_low,trimmed_high,trimmed_range,y_true
2023Q1,2023-02-17,92,79,rmse,0.15,3.19241871141759,3.19020233211683,3.19062115461739,1.8651635503343,2.60008721414391,3.2417196804033,3.4963290605909,4.0257580768965,3.19062115461739,1.2019321998273,0.663125198602912,9.53990991319654,3.11255054479394,1.8651635503343,4.0257580768965,2.1605945265622,5.31034874051777
2023Q1,2023-02-24,92,79,rmse,0.15,3.19241871141759,3.19020233211683,3.19062115461739,1.8651635503343,2.60008721414391,3.2417196804033,3.4963290605909,4.0257580768965,3.19062115461739,1.2019321998273,0.663125198602912,9.53990991319654,3.11255054479394,1.8651635503343,4.0257580768965,2.1605945265622,5.31034874051777
2023Q1,2023-03-03,92,79,rmse,0.15,3.18954719347955,3.13584775112227,3.14926677219139,1.78586809588779,2.64727588436954,3.34197196887879,3.56486583747846,4.05287131906197,3.14926677219139,0.988504480892835,0.412719206090161,6.80961582629969,3.17380011211623,1.78586809588779,4.05287131906197,2.26700322317418,5.31034874051777
2023Q1,2023-03-10,92,79,rmse,0.15,3.133544362726,3.10356951882291,3.09925139779538,1.91845945600864,2.7350780662566,3.29906072802189,3.5060979712182,4.21467473425234,3.09925139779538,1.00725025570689,-0.0318893980963352,4.93772489453452,3.16750608494274,1.91845945600864,4.21467473425234,2.2962152782437,5.31034874051777
2023Q1,2023-03-17,92,79,rmse,0.15,3.133544362726,3.10356951882291,3.09925139779538,1.91845945600864,2.7350780662566,3.29906072802189,3.5060979712182,4.21467473425234,3.09925139779538,1.00725025570689,-0.0318893980963352,4.93772489453452,3.16750608494274,1.91845945600864,4.21467473425234,2.2962152782437,5.31034874051777
2023Q1,2023-03-24,92,79,rmse,0.15,3.133544362726,3.10356951882291,3.09925139779538,1.91845945600864,2.7350780662566,3.29906072802189,3.5060979712182,4.21467473425234,3.09925139779538,1.00725025570689,-0.0318893980963352,4.93772489453452,3.16750608494274,1.91845945600864,4.21467473425234,2.2962152782437,5.31034874051777
2023Q1,2023-03-31,92,79,rmse,0.15,3.60108073369824,3.53673167605007,3.54267647308273,2.3487160172055,2.99322889954634,3.40577317015864,3.96506609300196,4.82324731889761,3.54267647308273,1.31752872731381,-0.748072053943091,8.54044244914808,3.46185087886774,2.3487160172055,4.82324731889761,2.47453130169211,5.31034874051777
2023Q2,2023-04-07,92,79,rmse,0.15,3.79487391938456,3.79158667864222,3.78800342469484,3.33799744331975,3.60617580667838,3.76247946370383,3.94975996411498,4.24370617539276,3.78800342469484,0.710965337336361,0.856096540270275,7.4310496794716,3.78841318921561,3.33799744331975,4.24370617539276,0.90570873207301,3.3567849988966
2023Q2,2023-04-14,92,79,rmse,0.15,3.79487391938456,3.79158667864222,3.78800342469484,3.33799744331975,3.60617580667838,3.76247946370383,3.94975996411498,4.24370617539276,3.78800342469484,0.710965337336361,0.856096540270275,7.4310496794716,3.78841318921561,3.33799744331975,4.24370617539276,0.90570873207301,3.3567849988966
2023Q2,2023-04-21,92,79,rmse,0.15,3.79487391938456,3.79158667864222,3.78800342469484,3.33799744331975,3.60617580667838,3.76247946370383,3.94975996411498,4.24370617539276,3.78800342469484,0.710965337336361,0.856096540270275,7.4310496794716,3.78841318921561,3.33799744331975,4.24370617539276,0.90570873207301,3.3567849988966
