quarter,test_date,variable,metric_value,included,weight_bic,weight_rmse,y_hat
2022Q4,2022-10-07,DA3m_AUTO_SALES_US,2.21259472181962,TRUE,0.00857395406338899,0.0134962956416371,3.90553298555466
2022Q4,2022-10-07,DA3m_BGS,6.38961659250315,FALSE,,,3.50011072411752
2022Q4,2022-10-07,DA3m_CAP_UTILI_US,2.1702632037553,TRUE,0.0106608914614571,0.0140279275077945,4.14082170418501
2022Q4,2022-10-07,DA3m_CONS_CONF_US,2.29050690894116,TRUE,0.00100794833661321,0.0125937513672525,2.19231600145861
2022Q4,2022-10-07,DA3m_CONS_SENTI_US,2.42346174012435,TRUE,0.0125014841897137,0.0112498308254018,1.83147026137776
2022Q4,2022-10-07,DA3m_CPI_US,3.77376654680573,FALSE,,,10.3167616364902
2022Q4,2022-10-07,DA3m_Credit,2.18722726997871,TRUE,0.0103864015783437,0.0138111710254133,4.04761284505464
2022Q4,2022-10-07,DA3m_EMPLOY_NONFARM_US,2.24496451185948,TRUE,0.0147679147203275,0.013109899636012,4.17439842309592
2022Q4,2022-10-07,DA3m_Fx,2.20593800542383,TRUE,0.0093483231759636,0.0135778723368699,3.57991622869736
2022Q4,2022-10-07,DA3m_HOUSING_STARTS_US,2.25208383389059,TRUE,0.0104746334300894,0.0130271442144768,4.07074158219743
2022Q4,2022-10-07,DA3m_HVT,2.31460162360882,TRUE,0.0103118453567847,0.0123329173286069,4.4112026401953
2022Q4,2022-10-07,DA3m_IC_Br,2.34956364876254,TRUE,0.00990667096930771,0.0119686150367047,4.45631120884555
2022Q4,2022-10-07,DA3m_IE_S,2.14700756737741,TRUE,0.017516083591235,0.014333464555921,3.69513736929424
2022Q4,2022-10-07,DA3m_IE_S_alt,2.18561724127571,TRUE,0.0163319545258172,0.0138315264394689,3.74237733983189
2022Q4,2022-10-07,DA3m_INCC_DI,2.16764620684682,TRUE,0.0116690081752163,0.0140618197577431,4.00131667990233
2022Q4,2022-10-07,DA3m_INDF,2.21808237079561,TRUE,0.0173223436702332,0.013429597203208,2.53126481551274
2022Q4,2022-10-07,DA3m_INDFE,2.3031698959614,TRUE,0.0117010043773122,0.0124556494326553,3.67189342087806
2022Q4,2022-10-07,DA3m_IP,2.50820852572211,TRUE,0.0140973193567648,0.0105024602789993,6.73250131757349
2022Q4,2022-10-07,DA3m_IPCA,2.25234880719443,TRUE,0.0145795266157308,0.0130240792874209,2.966927362766
2022Q4,2022-10-07,DA3m_IPCA_EX0,2.49417868695584,TRUE,0.0156392343387465,0.0106209459699911,5.71344401680362
2022Q4,2022-10-07,DA3m_IPCA_EX1,3.30522239080132,FALSE,,,4.91350290576432
2022Q4,2022-10-07,DA3m_IPCA_EX2,2.40300633019438,TRUE,0.00962644978945356,0.0114421726743712,4.43290565442257
2022Q4,2022-10-07,DA3m_IPCA_MA,2.55102115329711,TRUE,0.012403103911538,0.0101529023103184,4.97640896136431
2022Q4,2022-10-07,DA3m_IPCA_MS,3.23175281263624,FALSE,,,3.275057959744
2022Q4,2022-10-07,DA3m_IPCDG,2.46020384409577,TRUE,0.0113942550641958,0.0109163170741237,4.238840451386
2022Q4,2022-10-07,DA3m_IPCG,2.27025901917783,TRUE,0.0111188105697953,0.0128193943577159,4.36183266519043
2022Q4,2022-10-07,DA3m_IPCI,2.16406743307147,TRUE,0.0090546971396964,0.0141083669975534,3.90017915775009
2022Q4,2022-10-07,DA3m_IPCIG,2.38943482831287,TRUE,0.0130866001576846,0.0115725202081789,4.30068461548503
2022Q4,2022-10-07,DA3m_IPKG,2.35679416599549,TRUE,0.0182375273491995,0.0118952895595719,4.79419607467568
2022Q4,2022-10-07,DA3m_IPME,2.290229727182,TRUE,0.0180688575625799,0.0125967999429971,4.77416282779391
2022Q4,2022-10-07,DA3m_IPMI,2.63214660483856,FALSE,,,7.81992173602749
2022Q4,2022-10-07,DA3m_IPSDG,2.18969115729998,TRUE,0.013660968396597,0.0137801072620205,4.3372786355022
2022Q4,2022-10-07,DA3m_IP_US,2.15172263749828,TRUE,0.0121997458302743,0.0142707155364678,4.06307412126911
2022Q4,2022-10-07,DA3m_ISA_S,2.18781551119684,TRUE,0.0182603263258173,0.0138037451635618,3.73511490373719
2022Q4,2022-10-07,DA3m_M1,2.32731386879335,TRUE,0.012213418038876,0.0121985556578466,4.45708701318194
2022Q4,2022-10-07,DA3m_PIB_monthly,2.20669071269827,TRUE,0.0205316732019283,0.0135686110297371,3.83533159610593
2022Q4,2022-10-07,DA3m_QSC,2.22142225726665,TRUE,0.0125453270648155,0.0133892450264941,3.94167881754635
