quarter,test_date,n_models_before,n_models,drop_metric,drop_prop,comb_bic,comb_rmse,comb_equal,p10,p25,median,p75,p90,mean,sd,min,max,trimmed_mean,trimmed_low,trimmed_high,trimmed_range,y_true
2022Q4,2022-12-30,92,79,rmse,0.15,3.71928769675071,3.78711213900823,3.79495775547937,2.88763842469228,3.54665001562966,3.87740092553637,4.21015119826901,4.61697042095311,3.79495775547937,0.924548692642905,0.193807997534309,6.54878556475468,3.84654422818431,2.88763842469228,4.61697042095311,1.72933199626083,1.75619255625534
2023Q1,2023-03-31,92,79,rmse,0.15,3.60108073369824,3.53673167605007,3.54267647308273,2.3487160172055,2.99322889954634,3.40577317015864,3.96506609300196,4.82324731889761,3.54267647308273,1.31752872731381,-0.748072053943091,8.54044244914808,3.46185087886774,2.3487160172055,4.82324731889761,2.47453130169211,5.31034874051777
2023Q2,2023-06-30,92,79,rmse,0.15,3.61080743298399,3.58953133772805,3.5862512664565,2.11158243276941,3.41835377521665,3.78600043078135,4.02173419480024,4.3541942411987,3.5862512664565,1.25211180215131,0.220298409901269,8.17342271067535,3.62058145942555,2.11158243276941,4.3541942411987,2.24261180842929,3.3567849988966
2023Q3,2023-09-29,92,79,rmse,0.15,3.71558979426803,3.71036700443133,3.71370435975095,3.28354950394775,3.55367926428762,3.71158895512521,3.89623395912542,4.19684436525157,3.71370435975095,0.462885591321921,1.89523253043632,5.36366454381557,3.72427042978655,3.28354950394775,4.19684436525157,0.913294861303816,0.347146908315565
2023Q4,2023-12-29,92,79,rmse,0.15,3.23674813621887,3.2248375046416,3.22156428141657,2.51346174040413,2.84403525388986,3.22378770245345,3.42234851117804,3.99897118042801,3.22156428141657,0.715518626514908,1.43397131530578,5.47638317325769,3.1728484311684,2.51346174040413,3.99897118042801,1.48550944002388,1.27750670204776
2024Q1,2024-03-29,90,77,rmse,0.15,2.78231801197019,2.78753380316561,2.78477798492202,2.05876482165806,2.52179637667196,2.85981048386976,3.00947098615012,3.27806458011134,2.78477798492202,0.796098259059536,0.480850536506457,6.5731456242842,2.77884516394081,2.05876482165806,3.27806458011134,1.21929975845328,3.48689250678724
2024Q2,2024-06-28,90,77,rmse,0.15,2.7326611090149,2.75564757224192,2.730706934527,1.86476129848961,2.61575048399337,3.03576340286065,3.13934937214001,3.36546046698443,2.730706934527,0.777167935986216,-0.258312003096408,3.77599147110332,2.86884073021351,1.86476129848961,3.36546046698443,1.50069916849482,6.0404189283723
2024Q3,2024-09-27,90,77,rmse,0.15,3.41559506800854,3.39130006288243,3.39179051952094,2.98342323888125,3.21596708483671,3.39659196429152,3.54757346045298,3.67505471639265,3.39179051952094,0.546521552943432,1.75015305318168,5.66765078144888,3.3720230301276,2.98342323888125,3.67505471639265,0.691631477511399,3.15392718941609
2024Q4,2024-12-27,102,87,rmse,0.15,2.67039624569848,3.2939082043956,3.31670984876712,2.83886301212781,3.19607187554247,3.33370105242083,3.55776526578007,3.93321415948183,3.31670984876712,0.616402342146662,0.95721232988154,4.68865433703949,3.37342845329895,2.83886301212781,3.93321415948183,1.09435114735402,0.251243138330537
2025Q1,2025-03-28,114,97,rmse,0.15,3.79545975471079,3.27035826328842,3.20999909321918,2.58863109797235,2.94380702346921,3.07720555053005,3.24724926732227,3.77079965180772,3.20999909321918,0.826757086267699,0.788216822204489,6.74887151713301,3.10474593793465,2.58863109797235,3.77079965180772,1.18216855383538,5.19865916007376
2025Q2,2025-06-27,114,97,rmse,0.15,2.95968487598558,3.18872963919345,3.27870457811683,2.89148804510752,3.14966939031827,3.29972081677643,3.44882774418799,3.80007373481614,3.27870457811683,1.07137860925351,-3.75567374314572,8.70955864646358,3.30274585638743,2.89148804510752,3.80007373481614,0.908585689708627,1.48476739021497
