"date","series_code","value"
1990-01-01,"AUTO_SALES_US",16.308
1990-02-01,"AUTO_SALES_US",14.363
1990-03-01,"AUTO_SALES_US",14.486
1990-04-01,"AUTO_SALES_US",14.281
1990-05-01,"AUTO_SALES_US",14.022
1990-06-01,"AUTO_SALES_US",14.149
1990-07-01,"AUTO_SALES_US",14.081
1990-08-01,"AUTO_SALES_US",13.859
1990-09-01,"AUTO_SALES_US",14.298
1990-10-01,"AUTO_SALES_US",13.749
1990-11-01,"AUTO_SALES_US",13.134
1990-12-01,"AUTO_SALES_US",12.958
1991-01-01,"AUTO_SALES_US",11.829
1991-02-01,"AUTO_SALES_US",12.409
1991-03-01,"AUTO_SALES_US",12.848
1991-04-01,"AUTO_SALES_US",12.038
1991-05-01,"AUTO_SALES_US",12.487
1991-06-01,"AUTO_SALES_US",12.719
1991-07-01,"AUTO_SALES_US",12.972
1991-08-01,"AUTO_SALES_US",12.565
1991-09-01,"AUTO_SALES_US",13.107
1991-10-01,"AUTO_SALES_US",12.217
1991-11-01,"AUTO_SALES_US",12.576
1991-12-01,"AUTO_SALES_US",12.658
1992-01-01,"AUTO_SALES_US",12.591
1992-02-01,"AUTO_SALES_US",12.927
1992-03-01,"AUTO_SALES_US",12.824
1992-04-01,"AUTO_SALES_US",12.55
1992-05-01,"AUTO_SALES_US",13.098
1992-06-01,"AUTO_SALES_US",13.543
1992-07-01,"AUTO_SALES_US",12.853
1992-08-01,"AUTO_SALES_US",12.873
1992-09-01,"AUTO_SALES_US",13.378
1992-10-01,"AUTO_SALES_US",13.655
1992-11-01,"AUTO_SALES_US",13.218
1992-12-01,"AUTO_SALES_US",13.784
1993-01-01,"AUTO_SALES_US",13.457
1993-02-01,"AUTO_SALES_US",12.969
1993-03-01,"AUTO_SALES_US",13.326
1993-04-01,"AUTO_SALES_US",14.527
1993-05-01,"AUTO_SALES_US",14.519
1993-06-01,"AUTO_SALES_US",14.49
1993-07-01,"AUTO_SALES_US",14.451
1993-08-01,"AUTO_SALES_US",13.584
1993-09-01,"AUTO_SALES_US",13.99
1993-10-01,"AUTO_SALES_US",14.911
1993-11-01,"AUTO_SALES_US",14.882
1993-12-01,"AUTO_SALES_US",15.004
1994-01-01,"AUTO_SALES_US",15.379
1994-02-01,"AUTO_SALES_US",15.52
1994-03-01,"AUTO_SALES_US",15.301
1994-04-01,"AUTO_SALES_US",16.013
1994-05-01,"AUTO_SALES_US",14.577
1994-06-01,"AUTO_SALES_US",15.109
1994-07-01,"AUTO_SALES_US",14.875
1994-08-01,"AUTO_SALES_US",15.359
1994-09-01,"AUTO_SALES_US",15.274
1994-10-01,"AUTO_SALES_US",15.894
1994-11-01,"AUTO_SALES_US",15.89
1994-12-01,"AUTO_SALES_US",15.584
1995-01-01,"AUTO_SALES_US",14.801
1995-02-01,"AUTO_SALES_US",14.861
1995-03-01,"AUTO_SALES_US",15.256
1995-04-01,"AUTO_SALES_US",14.378
1995-05-01,"AUTO_SALES_US",14.806
